"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Normalize","","Fri Dec 05 20:07:54 UTC 2025","passed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","Normalize"
"","0","Normalize4","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","Normalize4"
"","1","MoneyPrint","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyPrint"
"","1","MoneyEquals","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyEquals"
"","0","SimpleBagAdd","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","SimpleBagAdd"
"","0","BagSimpleAdd","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","BagSimpleAdd"
"","0","SimpleMultiply","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","SimpleMultiply"
"","1","SimpleAdd","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","SimpleAdd"
"","0","SimpleNegate","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","SimpleNegate"
"","0","BagSubtract","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","BagSubtract"
"","1","BagSumAdd","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","BagSumAdd"
"","1","MixedSimpleAdd","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MixedSimpleAdd"
"","1","Money is zero","","Fri Dec 05 20:07:54 UTC 2025","passed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyIsZero"
"","1","MoneyBagIsZero","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyBagIsZero"
"","0","Normalize2","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","Normalize2"
"","0","MoneyBagEquals","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyBagEquals"
"","0","BagNegate","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","BagNegate"
"","0","Normalize3","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","Normalize3"
"","1","SimpleSubtract","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","SimpleSubtract"
"","21","BagMultiply","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","BagMultiply"
"","0","MoneyHashCode","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyHashCode"
"","0","MoneyBagHash","","Fri Dec 05 20:07:54 UTC 2025","failed","Fri Dec 05 20:07:54 UTC 2025","","Money","MoneyTest","MoneyBagHash"
