"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","BagNegate","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","BagNegate"
"","0","MoneyPrint","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyPrint"
"","0","SimpleBagAdd","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","SimpleBagAdd"
"","1","BagSumAdd","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","BagSumAdd"
"","0","MoneyHashCode","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyHashCode"
"","0","MixedSimpleAdd","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MixedSimpleAdd"
"","0","MoneyEquals","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyEquals"
"","1","Normalize3","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","Normalize3"
"","0","SimpleAdd","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","SimpleAdd"
"","1","Money is zero","","Fri Dec 05 21:27:52 UTC 2025","passed","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyIsZero"
"","0","MoneyBagEquals","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyBagEquals"
"","0","BagSubtract","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","BagSubtract"
"","0","MoneyBagHash","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyBagHash"
"","1","Normalize4","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","Normalize4"
"","0","MoneyBagIsZero","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","MoneyBagIsZero"
"","18","BagMultiply","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","BagMultiply"
"","0","SimpleNegate","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","SimpleNegate"
"","1","SimpleMultiply","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","SimpleMultiply"
"","0","Normalize2","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","Normalize2"
"","15","Normalize","","Fri Dec 05 21:27:52 UTC 2025","passed","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","Normalize"
"","0","SimpleSubtract","","Fri Dec 05 21:27:53 UTC 2025","broken","Fri Dec 05 21:27:53 UTC 2025","","Money","MoneyTest","SimpleSubtract"
"","0","BagSimpleAdd","","Fri Dec 05 21:27:52 UTC 2025","broken","Fri Dec 05 21:27:52 UTC 2025","","Money","MoneyTest","BagSimpleAdd"
