"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","SimpleSubtract","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","SimpleSubtract"
"","1","MoneyBagHash","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyBagHash"
"","0","BagSubtract","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","BagSubtract"
"","1","MoneyBagEquals","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyBagEquals"
"","0","SimpleMultiply","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","SimpleMultiply"
"","0","BagNegate","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","BagNegate"
"","0","SimpleAdd","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","SimpleAdd"
"","1","SimpleNegate","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","SimpleNegate"
"","13","Normalize","","Fri Dec 05 20:06:51 UTC 2025","passed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","Normalize"
"","0","MoneyEquals","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyEquals"
"","0","SimpleBagAdd","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","SimpleBagAdd"
"","1","MixedSimpleAdd","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MixedSimpleAdd"
"","1","Money is zero","","Fri Dec 05 20:06:51 UTC 2025","passed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyIsZero"
"","1","MoneyHashCode","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyHashCode"
"","0","BagSumAdd","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","BagSumAdd"
"","1","Normalize4","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","Normalize4"
"","23","BagMultiply","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","BagMultiply"
"","0","BagSimpleAdd","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","BagSimpleAdd"
"","0","MoneyPrint","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyPrint"
"","0","Normalize2","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","Normalize2"
"","1","Normalize3","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","Normalize3"
"","0","MoneyBagIsZero","","Fri Dec 05 20:06:51 UTC 2025","failed","Fri Dec 05 20:06:51 UTC 2025","","Money","MoneyTest","MoneyBagIsZero"
