"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","BagMultiply","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","BagMultiply"
"","0","SimpleMultiply","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","SimpleMultiply"
"","0","Normalize4","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","Normalize4"
"","1","BagSumAdd","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","BagSumAdd"
"","0","SimpleNegate","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","SimpleNegate"
"","0","BagSubtract","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","BagSubtract"
"","0","BagSimpleAdd","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","BagSimpleAdd"
"","0","BagNegate","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","BagNegate"
"","0","Normalize2","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","Normalize2"
"","1","Money is zero","","Fri Dec 05 20:28:17 UTC 2025","passed","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyIsZero"
"","0","SimpleAdd","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","SimpleAdd"
"","0","MixedSimpleAdd","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MixedSimpleAdd"
"","0","MoneyEquals","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyEquals"
"","1","SimpleSubtract","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","SimpleSubtract"
"","1","Normalize3","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","Normalize3"
"","0","MoneyBagEquals","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyBagEquals"
"","1","SimpleBagAdd","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","SimpleBagAdd"
"","1","MoneyBagHash","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyBagHash"
"","0","MoneyHashCode","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyHashCode"
"","13","Normalize","","Fri Dec 05 20:28:17 UTC 2025","passed","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","Normalize"
"","0","MoneyBagIsZero","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyBagIsZero"
"","0","MoneyPrint","","Fri Dec 05 20:28:17 UTC 2025","broken","Fri Dec 05 20:28:17 UTC 2025","","Money","MoneyTest","MoneyPrint"
