"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","ClassicAssert.IsNotNull","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","IsNotNull"
"","0","SomeItemTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","SomeItemTests"
"","0","SubstringTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","SubstringTests"
"","1","ClassicAssert.IsFalse","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","IsFalse"
"","3","RegularExpressionTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","RegularExpressionTests"
"","1","AssignableFromTypeTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","AssignableFromTypeTests"
"","22","AllItemsTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","AllItemsTests"
"","1","EqualityTestsWithTolerance_MixedFloatAndDouble","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTestsWithTolerance_MixedFloatAndDouble"
"","0","InstanceOfTypeTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","InstanceOfTypeTests"
"","0","ClassicAssert.IsNan","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","IsNaN"
"","3","EmptyCollectionTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EmptyCollectionTests"
"","7","CollectionContainsTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","CollectionContainsTests"
"","0","StartsWithTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","StartsWithTests"
"","1","EqualityTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTests"
"","0","ComparisonTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","ComparisonTests"
"","1","EqualIgnoringCaseTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EqualIgnoringCaseTests"
"","0","ClassicAssert.IsNull","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","IsNull"
"","6","EqualityTestsWithTolerance","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTestsWithTolerance"
"","0","ClassicAssert.IsEmpty, ClassicAssert.IsNotEmpty, Assert.That","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EmptyStringTests"
"","3","CollectionEquivalenceTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","CollectionEquivalenceTests"
"","0","ClassicAssert.IsTrue","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","IsTrue"
"","1","SubsetTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","SubsetTests"
"","0","EndsWithTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EndsWithTests"
"","1","EqualityTestsWithTolerance_MixingTypesGenerally","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","EqualityTestsWithTolerance_MixingTypesGenerally"
"","1","NotTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","NotTests"
"","2","PropertyTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","PropertyTests"
"","1","NoItemTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","NoItemTests"
"","2","ExactTypeTests","","Fri Dec 05 22:16:17 UTC 2025","passed","Fri Dec 05 22:16:17 UTC 2025","","Syntax","AssertSyntaxTests","ExactTypeTests"
